"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-10",,,,,"0.0","0.0","0.0",,"20.6","1.7","6.1",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-11",,,,,"0.0","0.0","0.0",,"16.1","4.4","4.4",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-12",,,,,"0.0","0.0","0.0",,"12.8","1.7","2.8",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-13",,,,,"7.1","0.0","0.0",,"9.4","2.2","6.7",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-14",,,,,"2.5","0.0","0.0",,"19.4","4.4","4.4",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-15",,,,,"0.0","0.0","0.0",,"13.3","3.9","3.9",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-16",,,,,"0.0","0.0","0.0",,"11.7","-2.2","-1.7",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-17",,,,,"2.5","0.0","0.0",,"7.8","-2.2","3.9",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-18",,,,,"1.3","0.0","0.0",,"11.7","2.8","3.3",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-19",,,,,"19.8","0.0","0.0",,"12.8","2.8","3.9",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-20",,,,,"1.8","0.0","0.0",,"10.0","3.9","7.8",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-21",,,,,"0.0","0.0","0.0",,"21.7","3.9","4.4",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-22",,,,,"0.0","0.0","0.0",,,,,,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-23",,,,,"0.0","0.0","0.0",,"6.7","-1.7","0.0",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-24",,,,,"16.3","0.0","0.0",,"3.9","-0.6","3.3",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-25",,,,,"0.0","0.0","0.0",,"11.7","2.2","2.8",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-26",,,,,"0.0","0.0","0.0",,"6.7","-1.7","-1.1",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-27",,,,,"0.3","0.0","0.0",,"13.9","-1.7","8.9",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-28",,,,,"0.0","0.0","0.0",,"18.9","5.0","7.8",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-29",,,,,"10.4","0.0","0.0",,"8.9","5.6","7.2",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-30",,,,,"1.3","0.0","0.0",,"8.3","6.1","6.1",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-03-31",,,,,"5.6","0.0","0.0",,"11.7","3.9","4.4",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-01",,,,,"0.3","0.0","0.0",,"8.3","2.8","3.3",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-04-02",,,,,"0.0","0.0","0.0",,"11.7","2.8","3.9",,,,,,,,,,,,,,,,
